Dates	Close
Oct-17-2023	17.88
Oct-18-2023	19.22
Oct-19-2023	21.40
Oct-20-2023	21.71
Oct-23-2023	20.37
Oct-24-2023	18.97
Oct-25-2023	20.19
Oct-26-2023	20.68
Oct-27-2023	21.27
Oct-30-2023	19.75
Oct-31-2023	18.14
Nov-01-2023	16.87
Nov-02-2023	15.66
Nov-03-2023	14.91
Nov-06-2023	14.89
Nov-07-2023	14.81
Nov-08-2023	14.45
Nov-09-2023	15.29
Nov-10-2023	14.17
Nov-13-2023	14.76
Nov-14-2023	14.16
Nov-15-2023	14.18
Nov-16-2023	14.32
Nov-17-2023	13.80
Nov-20-2023	13.41
Nov-21-2023	13.35
Nov-22-2023	12.85
Nov-23-2023	12.80
Nov-24-2023	12.46
Nov-27-2023	12.69
Nov-28-2023	12.69
Nov-29-2023	12.98
Nov-30-2023	12.92
Dec-01-2023	12.63
Dec-04-2023	13.08
Dec-05-2023	12.85
Dec-06-2023	12.97
Dec-07-2023	13.06
Dec-08-2023	12.35
Dec-11-2023	12.63
Dec-12-2023	12.07
Dec-13-2023	12.19
Dec-14-2023	12.48
Dec-15-2023	12.28
Dec-18-2023	12.56
Dec-19-2023	12.53
Dec-20-2023	13.67
Dec-21-2023	13.65
Dec-22-2023	13.03
Dec-26-2023	12.99
Dec-27-2023	12.43
Dec-28-2023	12.47
Dec-29-2023	12.45
Jan-02-2024	13.20
Jan-03-2024	14.04
Jan-04-2024	14.13
Jan-05-2024	13.35
Jan-08-2024	13.08
Jan-09-2024	12.76
Jan-10-2024	12.69
Jan-11-2024	12.44
Jan-12-2024	12.70
Jan-15-2024	13.25
Jan-16-2024	13.84
Jan-17-2024	14.79
Jan-18-2024	14.13
Jan-19-2024	13.30
Jan-22-2024	13.19
Jan-23-2024	12.55
Jan-24-2024	13.14
Jan-25-2024	13.45
Jan-26-2024	13.26
Jan-29-2024	13.60
Jan-30-2024	13.31
Jan-31-2024	14.35
Feb-01-2024	13.88
Feb-02-2024	13.85
Feb-05-2024	13.67
Feb-06-2024	13.06
Feb-07-2024	12.83
Feb-08-2024	12.79
Feb-09-2024	12.93
Feb-12-2024	13.93
Feb-13-2024	15.85
Feb-14-2024	14.38
Feb-15-2024	14.01
Feb-16-2024	14.24
Feb-19-2024	14.71
Feb-20-2024	15.42
Feb-21-2024	15.34
Feb-22-2024	14.54
Feb-23-2024	13.75
Feb-26-2024	13.74
Feb-27-2024	13.43
Feb-28-2024	13.84
Feb-29-2024	13.40
Mar-01-2024	13.11
Mar-04-2024	13.49
Mar-05-2024	14.46
Mar-06-2024	14.50
Mar-07-2024	14.44
Mar-08-2024	14.74
Mar-11-2024	15.22
Mar-12-2024	13.84
Mar-13-2024	13.75
Mar-14-2024	14.40
Mar-15-2024	14.41
Mar-18-2024	14.33
Mar-19-2024	13.82
Mar-20-2024	13.04
Mar-21-2024	12.92
Mar-22-2024	13.06
Mar-25-2024	13.19
Mar-26-2024	13.24
Mar-27-2024	12.78
Mar-28-2024	13.01
Apr-01-2024	13.65
Apr-02-2024	14.61
Apr-03-2024	14.33
Apr-04-2024	16.35
Apr-05-2024	16.03
Apr-08-2024	15.19
Apr-09-2024	14.98
Apr-10-2024	15.80
Apr-11-2024	14.91
Apr-12-2024	17.31
Apr-15-2024	19.23
Apr-16-2024	18.40
Apr-17-2024	18.21
Apr-18-2024	18.00
Apr-19-2024	18.71
Apr-22-2024	16.94
Apr-23-2024	15.69
Apr-24-2024	15.97
Apr-25-2024	15.37
Apr-26-2024	15.03
Apr-29-2024	14.67
Apr-30-2024	15.65
May-01-2024	15.39
May-02-2024	14.68
May-03-2024	13.49
May-06-2024	13.49
May-07-2024	13.23
May-08-2024	13.00
May-09-2024	12.69
May-10-2024	12.55
May-13-2024	13.60
May-14-2024	13.42
May-15-2024	12.45
May-16-2024	12.42
May-17-2024	11.99
May-20-2024	12.15
May-21-2024	11.86
